0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 

1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 

2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 

3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 

4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 

5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 

6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 

7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 

8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 

9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 

10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 

11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 

12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 

13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 

14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 

15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 

16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 

17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 17, 

18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 18, 

19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 

20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 

21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 21, 

22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 22, 

23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 23, 

24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 24, 

25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 25, 

26, 26, 26, 26, 26, 26, 26, 27, 27, 27, 27, 28, 28, 28, 29, 29, 29, 30, 31, 31, 32, 

27, 27, 27, 27, 27, 28, 28, 29, 29, 29, 30, 31, 31, 32, 33, 33, 34, 35, 37, 38, 39, 

28, 28, 28, 29, 29, 29, 30, 31, 31, 32, 33, 34, 34, 36, 37, 38, 39, 41, 43, 45, 47, 

29, 29, 29, 30, 30, 31, 32, 33, 33, 34, 35, 37, 38, 39, 41, 42, 44, 46, 49, 51, 54, 

30, 30, 31, 31, 32, 33, 34, 35, 36, 37, 38, 40, 41, 43, 45, 47, 49, 52, 55, 58, 61, 

31, 31, 32, 33, 33, 34, 35, 37, 38, 39, 41, 43, 44, 47, 49, 51, 54, 57, 61, 65, 69, 

32, 32, 33, 34, 35, 36, 37, 39, 40, 42, 44, 46, 48, 50, 53, 56, 59, 63, 67, 71, 76, 

33, 33, 34, 35, 36, 38, 39, 41, 42, 44, 46, 49, 51, 54, 57, 60, 64, 68, 73, 78, 84, 

34, 34, 35, 37, 38, 39, 41, 43, 45, 47, 49, 52, 54, 58, 61, 65, 69, 74, 79, 85, 91, 

35, 36, 37, 38, 39, 41, 43, 45, 47, 49, 52, 55, 58, 61, 65, 69, 74, 79, 85, 91, 98, 

36, 37, 38, 39, 41, 43, 45, 47, 49, 52, 54, 58, 61, 65, 69, 74, 79, 85, 91, 98, 106, 

37, 38, 39, 41, 42, 44, 46, 49, 51, 54, 57, 61, 64, 69, 73, 78, 84, 90, 97, 105, 113, 

38, 39, 40, 42, 44, 46, 48, 51, 53, 56, 60, 64, 68, 72, 77, 83, 89, 96, 103, 111, 121, 

39, 40, 42, 43, 45, 48, 50, 53, 56, 59, 63, 67, 71, 76, 81, 87, 94, 101, 109, 118, 128, 

40, 41, 43, 45, 47, 49, 52, 55, 58, 61, 65, 70, 74, 80, 85, 92, 99, 107, 115, 125, 135, 

41, 42, 44, 46, 48, 51, 54, 57, 60, 64, 68, 73, 78, 83, 89, 96, 104, 112, 121, 131, 143, 

42, 43, 45, 47, 50, 53, 55, 59, 62, 66, 71, 76, 81, 87, 93, 101, 109, 118, 127, 138, 150, 

43, 44, 46, 49, 51, 54, 57, 61, 65, 69, 73, 79, 84, 91, 97, 105, 114, 123, 133, 145, 158, 

44, 45, 48, 50, 53, 56, 59, 63, 67, 71, 76, 82, 88, 94, 102, 110, 119, 129, 139, 152, 165, 

45, 47, 49, 51, 54, 57, 61, 65, 69, 74, 79, 85, 91, 98, 106, 114, 124, 134, 145, 158, 172, 

46, 48, 50, 53, 56, 59, 63, 67, 71, 76, 82, 88, 94, 102, 110, 119, 129, 139, 152, 165, 180, 

47, 49, 51, 54, 57, 61, 65, 69, 73, 79, 84, 91, 98, 105, 114, 123, 133, 145, 158, 172, 187, 

48, 50, 53, 56, 59, 62, 66, 71, 76, 81, 87, 94, 101, 109, 118, 128, 138, 150, 164, 178, 194, 

49, 51, 54, 57, 60, 64, 68, 73, 78, 84, 90, 97, 104, 113, 122, 132, 143, 156, 170, 185, 202, 

50, 52, 55, 58, 62, 66, 70, 75, 80, 86, 92, 100, 108, 116, 126, 137, 148, 161, 176, 192, 209, 

51, 53, 56, 60, 63, 67, 72, 77, 82, 88, 95, 103, 111, 120, 130, 141, 153, 167, 182, 198, 217, 

52, 54, 57, 61, 65, 69, 74, 79, 85, 91, 98, 106, 114, 124, 134, 146, 158, 172, 188, 205, 224, 

53, 55, 59, 62, 66, 71, 76, 81, 87, 93, 101, 109, 117, 127, 138, 150, 163, 178, 194, 212, 231, 

54, 57, 60, 64, 68, 72, 77, 83, 89, 96, 103, 112, 121, 131, 142, 154, 168, 183, 200, 218, 239, 

55, 58, 61, 65, 69, 74, 79, 85, 91, 98, 106, 115, 124, 135, 146, 159, 173, 189, 206, 225, 246, 

56, 59, 62, 66, 71, 76, 81, 87, 93, 101, 109, 118, 127, 138, 150, 163, 178, 194, 212, 232, 254, 

57, 60, 64, 68, 72, 77, 83, 89, 96, 103, 111, 121, 131, 142, 154, 168, 183, 200, 218, 238, 261, 

58, 61, 65, 69, 74, 79, 85, 91, 98, 106, 114, 124, 134, 146, 158, 172, 188, 205, 224, 245, 268, 

59, 62, 66, 70, 75, 81, 86, 93, 100, 108, 117, 127, 137, 149, 162, 177, 193, 211, 230, 252, 276, 

60, 63, 67, 72, 77, 82, 88, 95, 102, 111, 120, 130, 141, 153, 166, 181, 198, 216, 236, 259, 283, 

61, 64, 68, 73, 78, 84, 90, 97, 105, 113, 122, 133, 144, 157, 170, 186, 203, 222, 242, 265, 291, 

